P000 bank01A hash=6b9e480256dc1f5f peak=0.673573 rms=0.272310
P001 bank01B hash=74c4674e1639678c peak=0.868588 rms=0.327172
P002 bank01C hash=566df7b162134bb3 peak=0.803192 rms=0.223823
P003 bank01D hash=6064b70b6c3d94f1 peak=0.685730 rms=0.256888
P004 bank02A hash=c1626288e4499919 peak=0.845989 rms=0.241424
P005 bank02B hash=4c9e1bbae1eab62f peak=0.735730 rms=0.256773
P006 bank02C hash=9194113c6719d573 peak=0.788688 rms=0.283955
P007 bank02D hash=4216a1e151a18930 peak=0.677581 rms=0.198511
P008 bank03A hash=e8cfa7c9eb102bd3 peak=0.934454 rms=0.311172
P009 bank03B hash=1917b79b38c8f7a3 peak=0.839485 rms=0.303386
P010 bank03C hash=5d49e12e6acc4aaf peak=0.596734 rms=0.226403
P011 bank03D hash=f6e20c19a74f145d peak=0.635046 rms=0.226928
P012 bank04A hash=d16250fe2e3ea64f peak=0.670901 rms=0.252204
P013 bank04B hash=5f1ca51c2252272f peak=0.735476 rms=0.193344
P014 bank04C hash=296d9277ecc496c7 peak=0.787895 rms=0.246517
P015 bank04D hash=5630804c79d7223a peak=0.802122 rms=0.257930
P016 bank05A hash=2f3ac3e08e1a0c04 peak=0.695745 rms=0.227304
P017 bank05B hash=cadd59aa119da1b2 peak=0.454190 rms=0.098110
P018 bank05C hash=f5d0486d9ab3a019 peak=0.749611 rms=0.321907
P019 bank05D hash=d5626f9937751473 peak=0.800763 rms=0.285251
P020 bank06A hash=5a28f7c66497ef76 peak=0.626859 rms=0.215913
P021 bank06B hash=dfa50008c9c388c8 peak=0.672945 rms=0.188280
P022 bank06C hash=10666ac43511be37 peak=0.566653 rms=0.194211
P023 bank06D hash=2d776d0460c51f23 peak=0.729735 rms=0.260605
P024 bank07A hash=4f2cedd3656c50b7 peak=0.875027 rms=0.318554
P025 bank07B hash=221a2b7367627497 peak=0.842175 rms=0.277117
P026 bank07C hash=dba01ffb9a997854 peak=0.892900 rms=0.300108
P027 bank07D hash=6a8ad5878243606e peak=0.923227 rms=0.366965
P028 bank08A hash=c9049207694a0dbb peak=0.623253 rms=0.194451
P029 bank08B hash=e19d91acbc399d86 peak=0.720788 rms=0.276877
P030 bank08C hash=15d9272ace0048fb peak=0.764194 rms=0.198237
P031 bank08D hash=cbe7f9ddb57edf77 peak=0.870001 rms=0.313234
P032 bank09A hash=7698e3c1915b2a2d peak=0.779891 rms=0.274632
P033 bank09B hash=64d51208a0197b55 peak=0.765636 rms=0.274140
P034 bank09C hash=10b6815825527cc9 peak=0.404802 rms=0.104801
P035 bank09D hash=49964ec89328945f peak=0.725708 rms=0.095956
P036 bank10A hash=3d9caefb645c8677 peak=0.546513 rms=0.228171
P037 bank10B hash=2a667bb3ef830cdf peak=0.677173 rms=0.183782
P038 bank10C hash=f738f879db1098a3 peak=0.849920 rms=0.264884
P039 bank10D hash=c4ee2e7838784e01 peak=0.722105 rms=0.229874
P040 bank11A hash=af63750971bd6037 peak=0.715798 rms=0.250536
P041 bank11B hash=98f46de9a6e1eaf9 peak=0.761349 rms=0.210136
P042 bank11C hash=2de32876af2c6210 peak=0.541153 rms=0.185557
P043 bank11D hash=b6540f967c63a194 peak=0.865440 rms=0.219257
P044 bank12A hash=3b4211ba6f341ac7 peak=0.691127 rms=0.174536
P045 bank12B hash=e3aa0d44449a515b peak=0.594633 rms=0.219390
P046 bank12C hash=ecb64ef6132ae5c3 peak=0.507643 rms=0.150469
P047 bank12D hash=0ae043291b0963ab peak=0.727765 rms=0.241402
P048 bank13A hash=878c05c5f854417b peak=0.784629 rms=0.247351
P049 bank13B hash=f607ad4d375b4417 peak=0.810429 rms=0.222914
P050 bank13C hash=75bc1bcb6b9085af peak=0.890447 rms=0.317121
P051 bank13D hash=56a847605a537bf3 peak=0.630149 rms=0.193962
P052 bank14A hash=d23cdc38b07b7c07 peak=0.723048 rms=0.186096
P053 bank14B hash=bbf4e9ed8615c28b peak=0.706284 rms=0.268186
P054 bank14C hash=55654cfad5815cb7 peak=0.826662 rms=0.263342
P055 bank14D hash=45e56187da46a88b peak=0.785860 rms=0.344309
P056 bank15A hash=9e9244e49a5bd9c4 peak=0.574085 rms=0.228920
P057 bank15B hash=3bb1df5e4de88dd6 peak=0.662942 rms=0.176503
P058 bank15C hash=39daaf60721bb096 peak=0.709930 rms=0.163472
P059 bank15D hash=400dcecc04161193 peak=0.705924 rms=0.255292
P060 bank16A hash=d48d300ae1c0323b peak=0.863896 rms=0.283257
P061 bank16B hash=afdc815606a87912 peak=0.825539 rms=0.292494
P062 bank16C hash=0f93842a1c169d7f peak=0.744439 rms=0.215925
P063 bank16D hash=ef9c40bd9132ce48 peak=0.840284 rms=0.333743
P064 bank17A hash=d05f7d1064dc71f3 peak=0.562392 rms=0.169206
P065 bank17B hash=fac5d7f1d13163db peak=0.517235 rms=0.148228
P066 bank17C hash=ee86eadd54471d2c peak=0.763771 rms=0.232279
P067 bank17D hash=1e6fb520ac2c8f2c peak=0.785574 rms=0.149169
P068 bank18A hash=c895793fc6db3a33 peak=0.774433 rms=0.212620
P069 bank18B hash=cad88762b132e69e peak=1.276759 rms=0.471396
P070 bank18C hash=993b57a343db9076 peak=0.500968 rms=0.186232
P071 bank18D hash=93e1c41fd1b8ab11 peak=0.567917 rms=0.196247
P072 bank19A hash=29a6cf6d4c1697c3 peak=1.301856 rms=0.477859
P073 bank19B hash=cc75b2e1f694951b peak=1.434670 rms=0.499053
P074 bank19C hash=cefaf363fd546bab peak=1.555683 rms=0.629896
P075 bank19D hash=6ea4cf2127d4ba73 peak=0.458735 rms=0.266770
P076 bank20A hash=16f61b7178d3a227 peak=0.749478 rms=0.277326
P077 bank20B hash=0d2b3ee18b9adaa3 peak=0.674478 rms=0.340894
P078 bank20C hash=696352113e826dab peak=0.895466 rms=0.327338
P079 bank20D hash=bc321c5368cf532f peak=0.884711 rms=0.320512
P080 bank21A hash=a91e36831ec6ae67 peak=0.810687 rms=0.318846
P081 bank21B hash=5acc56a622fd199f peak=0.882398 rms=0.336721
P082 bank21C hash=f3f72df19db1126b peak=0.921761 rms=0.334228
P083 bank21D hash=82d6fabb1224472f peak=0.898896 rms=0.318426
P084 bank22A hash=2da6e0ee316fe66b peak=0.800424 rms=0.322100
P085 bank22B hash=721831c6917a7fb7 peak=0.823747 rms=0.332674
P086 bank22C hash=4a3633d13f592bdb peak=0.857984 rms=0.323339
