P000 bank01A hash=e43f2694ed6d700f peak=0.673575 rms=0.272310
P001 bank01B hash=d5b2333b6caedcd8 peak=0.868581 rms=0.327166
P002 bank01C hash=7b855b496e77ca0b peak=0.803195 rms=0.223824
P003 bank01D hash=5daed20daa2d0a81 peak=0.685735 rms=0.256889
P004 bank02A hash=b17ec009c1aea3ef peak=0.781065 rms=0.212015
P005 bank02B hash=3e38ff643da6f526 peak=0.735724 rms=0.256771
P006 bank02C hash=f695ce148c06a14d peak=0.788690 rms=0.283956
P007 bank02D hash=b370b331e5e6bf74 peak=0.677579 rms=0.198511
P008 bank03A hash=e3edf21cf1a3edb3 peak=0.934476 rms=0.311180
P009 bank03B hash=451c184ed23e5273 peak=0.839474 rms=0.303382
P010 bank03C hash=02389ba72b29537f peak=0.596741 rms=0.226405
P011 bank03D hash=f9e85a4b76df90fc peak=0.635033 rms=0.226923
P012 bank04A hash=05ac8940915a1e7b peak=0.670891 rms=0.252200
P013 bank04B hash=cae55614ed419841 peak=0.735475 rms=0.193343
P014 bank04C hash=da249e8c0ff8b42f peak=0.787907 rms=0.246520
P015 bank04D hash=30ef1d0aaadd1dd1 peak=0.802137 rms=0.257935
P016 bank05A hash=0f1b8cd2a9a90f02 peak=0.695742 rms=0.227304
P017 bank05B hash=2466e9b6c070f0fd peak=0.454165 rms=0.098110
P018 bank05C hash=75c2a127b272b2c1 peak=0.749607 rms=0.321906
P019 bank05D hash=9b30728c1a3e0dc7 peak=0.800752 rms=0.285247
P020 bank06A hash=7a7ff9e2ee616298 peak=0.626847 rms=0.215908
P021 bank06B hash=43dd6d8ad8b7a009 peak=0.672948 rms=0.188281
P022 bank06C hash=73f0504cefe1a963 peak=0.566646 rms=0.194208
P023 bank06D hash=4211b08b861aaeb7 peak=0.729745 rms=0.260609
P024 bank07A hash=2584ad1660dab087 peak=0.875044 rms=0.318560
P025 bank07B hash=84ae8631ac62fdf7 peak=0.842179 rms=0.277118
P026 bank07C hash=ba0edf74749fbf1f peak=0.892917 rms=0.300113
P027 bank07D hash=ea556dd183c8d003 peak=0.923222 rms=0.366964
P028 bank08A hash=47e473038c6ccb05 peak=0.623253 rms=0.194451
P029 bank08B hash=dde92cdda9421e4b peak=0.720788 rms=0.276880
P030 bank08C hash=aed643c54bf9c6ff peak=0.764186 rms=0.198235
P031 bank08D hash=74db1800a0b5402b peak=0.870005 rms=0.313236
P032 bank09A hash=e079e0851ba91650 peak=0.779878 rms=0.274627
P033 bank09B hash=887e991e557d93d9 peak=0.765688 rms=0.274138
P034 bank09C hash=3a93c50465ed3c9a peak=0.404805 rms=0.104798
P035 bank09D hash=066e088eb9310daf peak=0.725710 rms=0.095956
P036 bank10A hash=1172c3806f7035db peak=0.546499 rms=0.228167
P037 bank10B hash=19d81c7839b6ce73 peak=0.677184 rms=0.183785
P038 bank10C hash=7beeae8d410abe87 peak=0.849932 rms=0.264888
P039 bank10D hash=b5639a2b79c5bce2 peak=0.721877 rms=0.229878
P040 bank11A hash=0001cc6e8c4bda1f peak=0.715786 rms=0.250534
P041 bank11B hash=1bc38e3b89a39002 peak=0.761356 rms=0.210138
P042 bank11C hash=55a704ca1b010b9f peak=0.541167 rms=0.185561
P043 bank11D hash=582e526ae97681a4 peak=0.833472 rms=0.237645
P044 bank12A hash=5c684eb497d80c37 peak=0.691142 rms=0.174539
P045 bank12B hash=d947e27da908ef5a peak=0.594632 rms=0.219390
P046 bank12C hash=2e05678f054823eb peak=0.507638 rms=0.150467
P047 bank12D hash=718cbea6948d427b peak=0.727772 rms=0.241404
P048 bank13A hash=4ab1610339442416 peak=0.784617 rms=0.247348
P049 bank13B hash=88544e705ded0d1c peak=0.810424 rms=0.222912
P050 bank13C hash=d4c8048b2938b7a2 peak=0.890446 rms=0.317121
P051 bank13D hash=0b3a5ba1f3334dd3 peak=0.630157 rms=0.193965
P052 bank14A hash=5f8b9a171b7bb64f peak=0.723046 rms=0.186095
P053 bank14B hash=33eedf9d04774e6f peak=0.706294 rms=0.268190
P054 bank14C hash=6d89f8e56eb85456 peak=0.826673 rms=0.263346
P055 bank14D hash=93da89a59804df17 peak=0.785866 rms=0.344312
P056 bank15A hash=b214dcf634e33e24 peak=0.574076 rms=0.228916
P057 bank15B hash=4ca8366100642c4a peak=0.662934 rms=0.176501
P058 bank15C hash=a7ee0a30bac47c2f peak=0.709922 rms=0.163471
P059 bank15D hash=192188feed42bb44 peak=0.705922 rms=0.255291
P060 bank16A hash=c4dc370dd066ccfa peak=0.864060 rms=0.283289
P061 bank16B hash=78fefd02389c661b peak=0.825524 rms=0.292489
P062 bank16C hash=a45c683bb086011b peak=0.744450 rms=0.215928
P063 bank16D hash=a6d52c37eb8824b3 peak=0.840284 rms=0.333744
P064 bank17A hash=f63c05f8c892d11c peak=0.562394 rms=0.169206
P065 bank17B hash=b1d38bf516b0099b peak=0.517247 rms=0.148231
P066 bank17C hash=709a5e39ee2f23ac peak=0.763774 rms=0.232278
P067 bank17D hash=348e7332a4e345e5 peak=0.785581 rms=0.149170
P068 bank18A hash=506e950874e45503 peak=0.774433 rms=0.212620
P069 bank18B hash=bd1814ed254d9bbc peak=1.276809 rms=0.471396
P070 bank18C hash=35952bb6ed65c16b peak=0.500963 rms=0.186230
P071 bank18D hash=bdd1f0cf9c20f08e peak=0.567883 rms=0.196248
P072 bank19A hash=b480b37e7ee2ee37 peak=1.301869 rms=0.477863
P073 bank19B hash=2e451d4a28541147 peak=1.434654 rms=0.499047
P074 bank19C hash=fbfd1bfc39a66e93 peak=1.555680 rms=0.629895
P075 bank19D hash=848883a019da3f4f peak=0.458732 rms=0.266769
P076 bank20A hash=a34304fd52863047 peak=0.749484 rms=0.277328
P077 bank20B hash=a0a1d3884c67a803 peak=0.674471 rms=0.340891
P078 bank20C hash=f7145fe363ca9d07 peak=0.895456 rms=0.327334
P079 bank20D hash=52f94d94e05da693 peak=0.884719 rms=0.320515
P080 bank21A hash=c5060932fd6b56df peak=0.810694 rms=0.318849
P081 bank21B hash=3714aae5451d79af peak=0.882406 rms=0.336724
P082 bank21C hash=b089c42ed0ce918f peak=0.921769 rms=0.334231
P083 bank21D hash=2704fa9848aab65b peak=0.898904 rms=0.318429
P084 bank22A hash=bd220518a9045b17 peak=0.800432 rms=0.322103
P085 bank22B hash=d9d8fd9fc8f883b3 peak=0.823754 rms=0.332677
