freq_hz,target_db,proposed_db,error_db
50.00,4.002,4.002,-0.000
52.28,4.002,4.002,-0.000
54.66,4.002,4.002,-0.000
57.15,4.002,4.002,-0.000
59.75,4.002,4.002,0.000
62.47,4.003,4.003,0.000
65.31,4.003,4.003,0.000
68.28,4.003,4.003,0.000
71.39,4.003,4.004,0.000
74.64,4.004,4.004,0.000
78.04,4.004,4.004,0.000
81.60,4.004,4.005,0.001
85.31,4.004,4.005,0.001
89.20,4.005,4.006,0.001
93.26,4.005,4.006,0.001
97.50,4.006,4.007,0.001
101.94,4.006,4.007,0.001
106.58,4.007,4.008,0.001
111.44,4.007,4.009,0.002
116.51,4.008,4.009,0.002
121.81,4.008,4.010,0.002
127.36,4.009,4.011,0.002
133.16,4.010,4.012,0.002
139.22,4.011,4.014,0.003
145.56,4.012,4.015,0.003
152.19,4.013,4.016,0.003
159.12,4.014,4.018,0.004
166.36,4.015,4.019,0.004
173.94,4.017,4.021,0.005
181.85,4.018,4.023,0.005
190.13,4.020,4.025,0.006
198.79,4.021,4.028,0.006
207.84,4.023,4.030,0.007
217.31,4.026,4.033,0.008
227.20,4.028,4.036,0.008
237.54,4.030,4.040,0.009
248.36,4.033,4.043,0.010
259.67,4.036,4.047,0.011
271.49,4.040,4.052,0.012
283.85,4.043,4.057,0.013
296.77,4.047,4.062,0.015
310.29,4.051,4.068,0.016
324.41,4.056,4.074,0.018
339.18,4.061,4.081,0.020
354.63,4.067,4.089,0.022
370.77,4.073,4.097,0.024
387.65,4.080,4.106,0.026
405.30,4.087,4.116,0.029
423.76,4.095,4.127,0.032
443.05,4.104,4.139,0.035
463.22,4.114,4.153,0.039
484.31,4.124,4.167,0.043
506.36,4.136,4.183,0.047
529.42,4.148,4.200,0.052
553.52,4.162,4.219,0.057
578.72,4.177,4.240,0.063
605.07,4.193,4.263,0.070
632.62,4.211,4.288,0.077
661.42,4.230,4.316,0.085
691.54,4.252,4.346,0.095
723.02,4.275,4.379,0.105
755.94,4.300,4.415,0.116
790.36,4.327,4.455,0.128
826.35,4.357,4.498,0.142
863.97,4.389,4.546,0.157
903.31,4.424,4.597,0.173
944.43,4.462,4.653,0.191
987.43,4.503,4.714,0.211
1032.39,4.548,4.780,0.232
1079.40,4.596,4.850,0.254
1128.54,4.648,4.924,0.277
1179.92,4.703,5.003,0.300
1233.64,4.762,5.084,0.323
1289.81,4.824,5.167,0.343
1348.54,4.889,5.249,0.360
1409.93,4.956,5.327,0.371
1474.13,5.025,5.397,0.372
1541.25,5.093,5.454,0.360
1611.42,5.159,5.490,0.331
1684.79,5.219,5.499,0.281
1761.49,5.267,5.472,0.205
1841.69,5.298,5.402,0.104
1925.55,5.302,5.279,-0.023
2013.21,5.269,5.098,-0.171
2104.88,5.182,4.855,-0.327
2200.71,5.026,4.547,-0.479
2300.91,4.780,4.175,-0.606
2405.67,4.426,3.738,-0.688
2515.20,3.946,3.240,-0.706
2629.71,3.329,2.680,-0.649
2749.44,2.570,2.060,-0.510
2874.62,1.675,1.379,-0.297
3005.51,0.656,0.634,-0.022
3142.35,-0.472,-0.178,0.294
3285.42,-1.685,-1.061,0.624
3435.00,-2.960,-2.020,0.940
3591.39,-4.268,-3.057,1.211
3754.91,-5.571,-4.162,1.409
3925.87,-6.819,-5.306,1.514
4104.61,-7.950,-6.425,1.525
4291.50,-8.892,-7.415,1.478
4486.89,-9.585,-8.157,1.428
4691.17,-9.999,-8.587,1.412
4904.76,-10.155,-8.741,1.414
5128.07,-10.107,-8.725,1.381
5361.55,-9.920,-8.645,1.275
5605.66,-9.654,-8.565,1.089
5860.89,-9.351,-8.515,0.836
6127.73,-9.039,-8.502,0.538
6406.73,-8.735,-8.518,0.217
6698.42,-8.448,-8.557,-0.109
7003.40,-8.181,-8.609,-0.428
7322.26,-7.935,-8.667,-0.732
7655.64,-7.712,-8.726,-1.014
8004.20,-7.509,-8.782,-1.273
8368.63,-7.325,-8.833,-1.508
8749.65,-7.158,-8.878,-1.719
9148.02,-7.008,-8.916,-1.908
9564.53,-6.872,-8.947,-2.075
10000.00,-6.749,-8.973,-2.224
