freq_hz,target_db,proposed_db,error_db
50.00,4.174,3.605,-0.570
52.28,4.194,3.626,-0.568
54.66,4.217,3.652,-0.565
57.15,4.244,3.682,-0.562
59.75,4.274,3.716,-0.558
62.47,4.308,3.755,-0.553
65.31,4.347,3.800,-0.547
68.28,4.389,3.850,-0.540
71.39,4.436,3.905,-0.531
74.64,4.486,3.965,-0.520
78.04,4.539,4.031,-0.508
81.60,4.594,4.100,-0.494
85.31,4.651,4.173,-0.478
89.20,4.708,4.248,-0.460
93.26,4.765,4.324,-0.441
97.50,4.820,4.399,-0.421
101.94,4.872,4.472,-0.400
106.58,4.920,4.541,-0.379
111.44,4.963,4.605,-0.358
116.51,5.001,4.664,-0.337
121.81,5.033,4.714,-0.318
127.36,5.058,4.757,-0.301
133.16,5.077,4.792,-0.286
139.22,5.090,4.817,-0.272
145.56,5.096,4.834,-0.262
152.19,5.095,4.841,-0.253
159.12,5.087,4.839,-0.248
166.36,5.073,4.828,-0.245
173.94,5.052,4.807,-0.244
181.85,5.024,4.777,-0.246
190.13,4.989,4.738,-0.251
198.79,4.947,4.688,-0.259
207.84,4.897,4.628,-0.269
217.31,4.839,4.558,-0.282
227.20,4.773,4.476,-0.297
237.54,4.697,4.382,-0.315
248.36,4.612,4.277,-0.335
259.67,4.516,4.158,-0.358
271.49,4.409,4.026,-0.383
283.85,4.290,3.882,-0.408
296.77,4.158,3.725,-0.434
310.29,4.014,3.557,-0.458
324.41,3.858,3.380,-0.477
339.18,3.690,3.200,-0.490
354.63,3.513,3.020,-0.493
370.77,3.330,2.850,-0.480
387.65,3.147,2.697,-0.450
405.30,2.969,2.572,-0.397
423.76,2.805,2.483,-0.322
443.05,2.666,2.438,-0.228
463.22,2.559,2.440,-0.119
484.31,2.494,2.489,-0.005
506.36,2.476,2.580,0.104
529.42,2.504,2.704,0.200
553.52,2.576,2.853,0.277
578.72,2.685,3.017,0.332
605.07,2.822,3.187,0.365
632.62,2.976,3.356,0.380
661.42,3.139,3.519,0.380
691.54,3.303,3.672,0.369
723.02,3.463,3.814,0.351
755.94,3.613,3.942,0.329
790.36,3.751,4.057,0.306
826.35,3.876,4.159,0.283
863.97,3.986,4.247,0.261
903.31,4.083,4.323,0.241
944.43,4.165,4.387,0.223
987.43,4.233,4.440,0.207
1032.39,4.288,4.482,0.195
1079.40,4.330,4.514,0.185
1128.54,4.359,4.536,0.177
1179.92,4.376,4.549,0.173
1233.64,4.382,4.552,0.170
1289.81,4.376,4.547,0.171
1348.54,4.358,4.532,0.174
1409.93,4.328,4.507,0.179
1474.13,4.286,4.474,0.187
1541.25,4.232,4.430,0.198
1611.42,4.165,4.376,0.211
1684.79,4.083,4.311,0.228
1761.49,3.987,4.234,0.248
1841.69,3.874,4.145,0.271
1925.55,3.744,4.042,0.298
2013.21,3.595,3.924,0.329
2104.88,3.425,3.790,0.365
2200.71,3.231,3.637,0.406
2300.91,3.011,3.464,0.454
2405.67,2.761,3.270,0.508
2515.20,2.480,3.051,0.571
2629.71,2.161,2.804,0.643
2749.44,1.803,2.528,0.725
2874.62,1.401,2.220,0.819
3005.51,0.951,1.876,0.925
3142.35,0.452,1.495,1.043
3285.42,-0.096,1.076,1.171
3435.00,-0.689,0.618,1.307
3591.39,-1.314,0.128,1.441
3754.91,-1.948,-0.387,1.561
3925.87,-2.553,-0.910,1.643
4104.61,-3.074,-1.412,1.662
4291.50,-3.444,-1.853,1.591
4486.89,-3.606,-2.184,1.422
4691.17,-3.534,-2.354,1.180
4904.76,-3.246,-2.329,0.917
5128.07,-2.796,-2.105,0.691
5361.55,-2.248,-1.709,0.538
5605.66,-1.658,-1.191,0.467
5860.89,-1.067,-0.601,0.466
6127.73,-0.499,0.017,0.517
6406.73,0.032,0.633,0.601
6698.42,0.520,1.225,0.705
7003.40,0.965,1.783,0.818
7322.26,1.367,2.300,0.933
7655.64,1.729,2.775,1.046
8004.20,2.054,3.207,1.153
8368.63,2.346,3.599,1.253
8749.65,2.607,3.952,1.344
9148.02,2.842,4.268,1.427
9564.53,3.052,4.551,1.499
10000.00,3.241,4.803,1.563
