freq_hz,target_db,proposed_db,error_db
50.00,4.735,4.790,0.055
52.28,4.765,4.835,0.069
54.66,4.800,4.886,0.086
57.15,4.840,4.944,0.104
59.75,4.884,5.010,0.126
62.47,4.934,5.084,0.150
65.31,4.990,5.166,0.177
68.28,5.051,5.257,0.206
71.39,5.118,5.356,0.239
74.64,5.190,5.463,0.273
78.04,5.268,5.578,0.310
81.60,5.350,5.698,0.349
85.31,5.436,5.824,0.388
89.20,5.526,5.954,0.428
93.26,5.618,6.086,0.468
97.50,5.711,6.219,0.507
101.94,5.806,6.350,0.545
106.58,5.900,6.480,0.580
111.44,5.995,6.607,0.613
116.51,6.088,6.731,0.642
121.81,6.182,6.850,0.668
127.36,6.275,6.966,0.691
133.16,6.368,7.078,0.710
139.22,6.461,7.186,0.725
145.56,6.555,7.292,0.737
152.19,6.651,7.396,0.745
159.12,6.750,7.499,0.749
166.36,6.851,7.602,0.751
173.94,6.956,7.705,0.749
181.85,7.065,7.810,0.744
190.13,7.179,7.916,0.737
198.79,7.297,8.024,0.726
207.84,7.420,8.133,0.713
217.31,7.547,8.244,0.697
227.20,7.678,8.356,0.678
237.54,7.810,8.467,0.657
248.36,7.941,8.575,0.634
259.67,8.070,8.679,0.609
271.49,8.194,8.776,0.583
283.85,8.307,8.863,0.555
296.77,8.408,8.936,0.528
310.29,8.491,8.993,0.502
324.41,8.554,9.032,0.479
339.18,8.593,9.051,0.458
354.63,8.607,9.050,0.443
370.77,8.597,9.030,0.433
387.65,8.563,8.991,0.428
405.30,8.507,8.936,0.429
423.76,8.433,8.869,0.436
443.05,8.346,8.793,0.448
463.22,8.248,8.711,0.463
484.31,8.144,8.625,0.481
506.36,8.039,8.540,0.501
529.42,7.934,8.456,0.522
553.52,7.832,8.376,0.543
578.72,7.736,8.300,0.564
605.07,7.646,8.231,0.584
632.62,7.565,8.168,0.603
661.42,7.492,8.112,0.620
691.54,7.428,8.064,0.636
723.02,7.374,8.023,0.649
755.94,7.329,7.990,0.661
790.36,7.294,7.964,0.670
826.35,7.268,7.946,0.678
863.97,7.252,7.936,0.684
903.31,7.246,7.933,0.687
944.43,7.249,7.938,0.689
987.43,7.261,7.950,0.689
1032.39,7.282,7.969,0.687
1079.40,7.313,7.995,0.682
1128.54,7.353,8.028,0.675
1179.92,7.403,8.068,0.665
1233.64,7.461,8.112,0.651
1289.81,7.528,8.160,0.632
1348.54,7.602,8.209,0.607
1409.93,7.683,8.256,0.574
1474.13,7.768,8.297,0.529
1541.25,7.855,8.325,0.470
1611.42,7.941,8.332,0.392
1684.79,8.018,8.309,0.292
1761.49,8.078,8.246,0.168
1841.69,8.110,8.130,0.019
1925.55,8.099,7.951,-0.148
2013.21,8.026,7.702,-0.324
2104.88,7.867,7.378,-0.489
2200.71,7.599,6.978,-0.622
2300.91,7.199,6.503,-0.697
2405.67,6.651,5.958,-0.693
2515.20,5.948,5.349,-0.600
2629.71,5.094,4.679,-0.415
2749.44,4.102,3.951,-0.151
2874.62,2.992,3.168,0.176
3005.51,1.785,2.327,0.543
3142.35,0.503,1.427,0.924
3285.42,-0.834,0.463,1.297
3435.00,-2.203,-0.569,1.635
3591.39,-3.582,-1.670,1.912
3754.91,-4.936,-2.832,2.104
3925.87,-6.221,-4.027,2.194
4104.61,-7.377,-5.190,2.187
4291.50,-8.335,-6.218,2.118
4486.89,-9.038,-6.993,2.045
4691.17,-9.458,-7.450,2.008
4904.76,-9.616,-7.628,1.987
5128.07,-9.567,-7.633,1.934
5361.55,-9.379,-7.570,1.809
5605.66,-9.109,-7.505,1.605
5860.89,-8.803,-7.468,1.335
6127.73,-8.487,-7.464,1.023
6406.73,-8.179,-7.490,0.689
6698.42,-7.887,-7.536,0.351
7003.40,-7.615,-7.594,0.021
7322.26,-7.366,-7.657,-0.291
7655.64,-7.138,-7.720,-0.582
8004.20,-6.931,-7.780,-0.849
8368.63,-6.743,-7.833,-1.090
8749.65,-6.573,-7.880,-1.307
9148.02,-6.420,-7.919,-1.500
9564.53,-6.281,-7.952,-1.671
10000.00,-6.155,-7.978,-1.823
